Year,Thermal_stress,size
2003,extreme heat stress,0
2004,extreme cold stress,0
2004,strong cold stress,4
2004,moderate cold stress,26
2004,slight cold stress,36
2004,no thermal stress,40
2004,slight heat stress,36
2004,moderate heat stress,11
2004,strong heat stress,0
2004,extreme heat stress,0
2005,extreme cold stress,0
2005,strong cold stress,1
2005,moderate cold stress,13
2005,slight cold stress,35
2005,no thermal stress,50
2005,slight heat stress,42
2005,moderate heat stress,12
2005,strong heat stress,0
2005,extreme heat stress,0
2006,extreme cold stress,0
2006,strong cold stress,3
2006,moderate cold stress,8
2006,slight cold stress,51
2006,no thermal stress,39
2006,slight heat stress,31
2006,moderate heat stress,18
2006,strong heat stress,3
2006,extreme heat stress,0
2007,extreme cold stress,0
2007,strong cold stress,7
2007,moderate cold stress,15
2007,slight cold stress,22
2007,no thermal stress,39
2007,slight heat stress,41
2007,moderate heat stress,22
2007,strong heat stress,7
2007,extreme heat stress,0
2008,extreme cold stress,5
2008,strong cold stress,10
2008,moderate cold stress,27
2008,slight cold stress,27
2008,no thermal stress,37
2008,slight heat stress,33
2008,moderate heat stress,11
2008,strong heat stress,3
2008,extreme heat stress,0
2009,extreme cold stress,1
2009,strong cold stress,0
2009,moderate cold stress,18
2009,slight cold stress,32
2009,no thermal stress,41
2009,slight heat stress,46
2009,moderate heat stress,13
2009,strong heat stress,2
2009,extreme heat stress,0
2010,extreme cold stress,1
2010,strong cold stress,4
2010,moderate cold stress,12
2010,slight cold stress,23
2010,no thermal stress,31
2010,slight heat stress,25
2010,moderate heat stress,25
2010,strong heat stress,24
2010,extreme heat stress,8
2011,extreme cold stress,0
2011,strong cold stress,3
2011,moderate cold stress,15
2011,slight cold stress,26
2011,no thermal stress,35
2011,slight heat stress,46
2011,moderate heat stress,24
2011,strong heat stress,4
2011,extreme heat stress,0
2012,extreme cold stress,0
2012,strong cold stress,2
2012,moderate cold stress,19
2012,slight cold stress,31
2012,no thermal stress,35
2012,slight heat stress,43
2012,moderate heat stress,21
2012,strong heat stress,2
2012,extreme heat stress,0
2013,extreme cold stress,5
2013,strong cold stress,9
2013,moderate cold stress,8
2013,slight cold stress,21
2013,no thermal stress,40
2013,slight heat stress,39
2013,moderate heat stress,28
2013,strong heat stress,3
2013,extreme heat stress,0
2014,extreme cold stress,1
2014,strong cold stress,3
2014,moderate cold stress,12
2014,slight cold stress,29
2014,no thermal stress,32
2014,slight heat stress,36
2014,moderate heat stress,30
2014,strong heat stress,10
2014,extreme heat stress,0
2015,extreme cold stress,0
2015,strong cold stress,2
2015,moderate cold stress,11
2015,slight cold stress,28
2015,no thermal stress,45
2015,slight heat stress,45
2015,moderate heat stress,22
2015,strong heat stress,0
2015,extreme heat stress,0
2016,extreme cold stress,2
2016,strong cold stress,5
2016,moderate cold stress,20
2016,slight cold stress,28
2016,no thermal stress,27
2016,slight heat stress,34
2016,moderate heat stress,33
2016,strong heat stress,4
2016,extreme heat stress,0
2017,extreme cold stress,2
2017,strong cold stress,7
2017,moderate cold stress,22
2017,slight cold stress,35
