VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Electric Utility,2020 Census Tract,Vehicle Location Lat,Vehicle Location Lon
5YJSA1E18G,Thurston,Olympia,WA,98513.0,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,2.0,111709230,PUGET SOUND ENERGY INC,53067012331.0,46.98876,-122.81754
5YJSA1H2XF,Snohomish,Mill Creek,WA,98012.0,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,44.0,215299024,PUGET SOUND ENERGY INC,53061052006.0,47.820245,-122.187
5UXKT0C34H,Douglas,East Wenatchee,WA,98802.0,2017,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,12.0,138837380,PUD NO 1 OF DOUGLAS COUNTY,53017950800.0,47.4176,-120.2867
1N4AZ0CP7F,King,Renton,WA,98059.0,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,11.0,197300393,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025103.0,47.487175,-122.1573
7SAYGDEF6P,Stevens,Colville,WA,99114.0,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,7.0,245457782,AVISTA CORP,53065950200.0,48.547075,-117.9043
1N4BZ0CP4G,Snohomish,Bothell,WA,98021.0,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,1.0,165186479,PUGET SOUND ENERGY INC,53061051937.0,47.802589,-122.17945
WBY8P6C51K,Stevens,Loon Lake,WA,99148.0,2019,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,153,0,7.0,478044206,NO KNOWN ELECTRIC UTILITY SERVICE,53065951301.0,48.05954,-117.6345
5YJYGDEE0M,Thurston,Olympia,WA,98503.0,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2.0,262199087,PUGET SOUND ENERGY INC,53067011628.0,47.03646,-122.828
5YJSA1E22H,King,Redmond,WA,98053.0,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,45.0,132951150,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032333.0,47.6958998,-122.022279
JTDKARFP3J,Skagit,Anacortes,WA,98221.0,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,40.0,474223459,PUGET SOUND ENERGY INC,53057940301.0,48.501275,-122.6153
