#Depth. m	Depth Bottom. m	Depth top. mwe	Depth bot. mwe	Nh4[ppb]	Ca[ppb]	No3[ppb]	So4[ppb]
91.973	92.033	66.571	66.625	40.047	323.901	53.049	217.246
92.033	92.088	66.625	66.674	8.131	57.685	36.739	120.593
92.088	92.142	66.674	66.723	3.853	17.485	23.129	85.111
92.142	92.196	66.723	66.772	6.455	23.931	32.518	116.170
92.196	92.250	66.772	66.821	4.311	28.099	33.520	45.568
92.250	92.305	66.821	66.87	13.945	41.412	38.359	114.647
92.305	92.359	66.87	66.919	11.737	24.626	32.968	80.865
92.359	92.431	66.919	66.985	78.684	152.164	173.442	231.187
92.431	92.503	66.985	67.051	149.304	322.866	251.390	387.128
92.503	92.575	67.051	67.116	97.402	197.427	172.634	334.613
92.575	92.647	67.116	67.182	91.508	263.431	116.851	275.684
92.647	92.719	67.182	67.247	100.693	469.475	174.787	397.094
92.719	92.791	67.247	67.313	68.295	337.318	112.155	234.327
92.791	92.845	67.313	67.362	11.280	106.742	66.022	169.442
92.845	92.899	67.362	67.411	8.164	55.799	42.552	204.496
92.899	92.953	67.411	67.46	4.248	21.536	18.761	48.519
92.953	93.007	67.46	67.508	5.472	35.910	31.643	58.984
93.007	93.061	67.508	67.557	5.881	37.590	25.241	111.694
93.061	93.115	67.557	67.606	17.143	53.909	56.248	213.665
93.115	93.207	67.606	67.688	73.216	123.030	149.428	327.939
93.207	93.298	67.688	67.769	115.812	140.555	215.313	395.850
93.298	93.390	67.769	67.85	125.879	428.743	182.450	408.110
93.390	93.481	67.85	67.932	72.788	285.771	101.619	240.976
93.481	93.573	67.932	68.013	81.383	432.322	118.609	330.485
93.573	93.664	68.013	68.094	42.207	114.977	59.520	131.199
93.664	93.768	68.094	68.188	10.067	41.148	27.946	62.579
93.768	93.871	68.188	68.281	17.772	42.056	44.049	66.116
93.871	93.974	68.281	68.375	11.213	115.300	45.381	111.096
93.974	94.078	68.375	68.468	5.395	21.183	53.825	66.276
94.078	94.181	68.468	68.562	11.238	25.201	120.474	61.811
94.181	94.284	68.562	68.655	10.953	57.273	42.489	80.931
94.284	94.369	68.655	68.729	64.523	99.538	114.896	199.329
94.369	94.454	68.729	68.804	138.970	227.235	226.197	344.560
94.454	94.539	68.804	68.878	77.255	359.091	139.153	350.514
94.539	94.624	68.878	68.952	95.045	499.273	144.048	493.844
94.624	94.709	68.952	69.026	95.525	211.129	139.350	309.195
94.709	94.794	69.026	69.1	39.035	117.549	79.177	162.837
94.794	94.867	69.1	69.161	16.946	59.451	40.268	123.366
94.867	94.940	69.161	69.222	8.346	57.736	38.329	175.946
94.940	95.013	69.222	69.283	9.045	36.311	27.158	77.610
95.013	95.086	69.283	69.343	7.398	36.330	35.859	71.618
95.086	95.159	69.343	69.404	3.510	7.212	37.881	91.210
95.159	95.232	69.404	69.465	13.978	16.250	42.825	76.285
95.232	95.348	69.465	69.562	23.783	50.760	55.590	122.260
95.348	95.464	69.562	69.66	15.342	22.448	34.758	72.534
95.464	95.581	69.66	69.758	106.670	159.945	180.624	259.867
95.581	95.697	69.758	69.856	85.632	104.189	184.984	226.283
95.697	95.814	69.856	69.953	66.962	196.808	161.472	259.686
95.814	95.930	69.953	70.051	59.999	172.884	82.163	283.497
95.930	95.973	70.051	70.086	12.215	46.636	20.121	64.386
95.973	96.016	70.086	70.122	12.963	46.065	31.206	67.124
96.016	96.059	70.122	70.157	22.913	76.621	47.095	99.241
96.059	96.102	70.157	70.192	14.901	45.187	39.682	78.281
96.102	96.144	70.192	70.228	13.116	35.293	82.748	100.914
96.144	96.187	70.228	70.263	11.879	34.494	104.975	117.508
96.187	96.268	70.263	70.329	62.465	161.808	143.652	192.507
96.268	96.348	70.329	70.394	158.017	346.999	325.721	324.237
96.348	96.429	70.394	70.46	34.247	57.313	83.906	87.537
96.429	96.509	70.46	70.526	100.347	69.356	136.874	169.676
96.509	96.590	70.526	70.592	58.341	71.486	81.671	123.520
96.590	96.670	70.592	70.657	79.047	678.843	101.718	258.549
96.670	96.758	70.657	70.73	24.532	67.776	37.046	106.328
96.758	96.846	70.73	70.802	15.655	32.305	33.808	97.963
96.846	96.934	70.802	70.874	11.716	31.109	38.266	114.431
96.934	97.021	70.874	70.946	11.611	17.229	28.668	90.862
97.021	97.109	70.946	71.019	15.250	17.280	87.479	77.235
97.109	97.197	71.019	71.091	11.943	21.122	34.645	63.477
97.197	97.280	71.091	71.159	49.580	130.633	86.168	149.937
97.280	97.364	71.159	71.227	54.657	164.864	124.841	158.773
97.364	97.447	71.227	71.295	18.067	24.199	51.505	49.923
97.447	97.531	71.295	71.364	77.729	67.810	107.337	89.073
97.531	97.614	71.364	71.432	62.404	55.307	88.758	59.299
97.614	97.698	71.432	71.5	83.685	119.140	93.766	105.939
97.698	97.776	71.5	71.563	8.991	37.997	24.022	36.260
97.776	97.855	71.563	71.625	3.403	11.190	13.644	25.466
97.855	97.933	71.625	71.688	5.628	5.718	24.418	21.289
97.933	98.011	71.688	71.751	20.083	43.831	47.040	59.332
98.011	98.090	71.751	71.814	20.825	77.298	35.432	45.916
98.090	98.168	71.814	71.877	15.824	52.147	27.710	33.591
98.168	98.232	71.877	71.928	41.549	40.239	81.673	77.574
98.232	98.296	71.928	71.98	80.139	65.959	111.471	151.970
98.296	98.360	71.98	72.032	142.933	105.497	197.434	166.696
98.360	98.424	72.032	72.084	17.460	96.703	45.611	43.489
98.424	98.487	72.084	72.135	33.593	229.770	55.409	71.349
98.487	98.551	72.135	72.187	46.991	206.612	86.828	158.513
98.551	98.576	72.187	72.208	8.937	105.999	65.498	94.510
98.576	98.602	72.208	72.228	10.131	97.868	57.824	147.336
98.602	98.627	72.228	72.248	11.525	88.381	48.870	208.966
98.627	98.652	72.248	72.269	4.681	27.450	29.303	84.592
98.652	98.677	72.269	72.289	9.638	26.051	40.416	68.588
98.677	98.702	72.289	72.31	13.888	24.851	49.941	54.871
98.702	98.784	72.31	72.378	95.874	112.598	115.981	169.448
98.784	98.865	72.378	72.446	179.091	417.062	210.308	313.466
98.865	98.947	72.446	72.514	128.502	416.157	194.026	310.433
98.947	99.028	72.514	72.583	129.303	262.393	171.012	278.387
99.028	99.110	72.583	72.651	81.485	386.677	161.456	320.165
99.110	99.192	72.651	72.719	48.488	68.773	64.813	141.459
99.192	99.229	72.719	72.75	5.378	32.807	16.101	19.015
99.229	99.267	72.75	72.781	9.384	28.887	28.787	30.851
99.267	99.305	72.781	72.812	17.202	38.547	68.091	59.391
99.305	99.342	72.812	72.842	26.946	42.231	51.288	63.555
99.342	99.380	72.842	72.873	28.664	52.964	45.748	73.178
99.380	99.418	72.873	72.904	15.620	34.169	61.360	45.679
99.418	99.456	72.904	72.935	67.303	93.123	163.232	135.051
99.456	99.494	72.935	72.966	83.538	75.185	245.892	169.951
99.494	99.532	72.966	72.997	77.710	68.157	129.132	141.571
99.532	99.570	72.997	73.028	70.157	126.995	149.621	126.377
99.570	99.608	73.028	73.059	27.948	34.413	64.787	74.109
99.608	99.646	73.059	73.091	36.726	152.847	82.943	174.892
99.646	99.678	73.091	73.117	21.743	114.085	58.134	170.116
99.678	99.710	73.117	73.143	6.237	35.205	33.582	69.444
99.710	99.742	73.143	73.17	3.114	11.674	27.111	56.498
99.742	99.774	73.17	73.196	3.601	17.917	25.570	113.116
99.774	99.805	73.196	73.222	5.273	33.418	30.871	170.573
99.805	99.837	73.222	73.249	11.548	25.568	60.451	68.432
99.837	99.958	73.249	73.346	56.693	266.279	101.646	195.276
99.958	100.079	73.346	73.444	74.507	269.266	118.650	176.323
100.079	100.200	73.444	73.541	162.069	380.565	215.003	268.539
100.200	100.321	73.541	73.639	92.253	94.424	135.900	154.875
100.321	100.442	73.639	73.736	84.323	102.869	117.911	151.361
100.442	100.563	73.736	73.834	41.824	97.324	86.470	139.922
100.563	100.569	73.834	73.839	11.581	32.476	44.277	60.775
100.569	100.575	73.839	73.844	11.581	32.476	44.277	60.775
100.575	100.582	73.844	73.849	11.581	32.476	44.277	60.775
100.582	100.588	73.849	73.855	11.581	32.476	44.277	60.775
100.588	100.594	73.855	73.86	11.581	32.476	44.277	60.775
100.594	100.600	73.86	73.865	11.581	32.476	44.277	60.775
100.600	100.668	73.865	73.923	127.083	405.414	155.773	214.449
100.668	100.736	73.923	73.98	97.688	190.573	163.003	193.091
100.736	100.804	73.98	74.038	112.316	391.022	131.263	216.321
100.804	100.871	74.038	74.096	99.641	803.696	101.420	293.830
100.871	100.939	74.096	74.154	56.773	424.128	56.315	222.377
100.939	101.007	74.154	74.212	121.816	318.381	136.303	273.538
101.007	101.013	74.212	74.217	11.741	58.651	30.417	73.571
101.013	101.020	74.217	74.222	11.741	58.651	30.417	73.571
101.020	101.026	74.222	74.227	11.741	58.651	30.417	73.571
101.026	101.032	74.227	74.233	11.741	58.651	30.417	73.571
101.032	101.038	74.233	74.238	11.741	58.651	30.417	73.571
101.038	101.044	74.238	74.243	11.741	58.651	30.417	73.571
101.044	101.189	74.243	74.359	27.151	100.258	77.549	132.844
101.189	101.333	74.359	74.475	54.888	117.458	79.740	139.375
101.333	101.478	74.475	74.59	41.816	53.437	64.684	77.873
101.478	101.622	74.59	74.706	87.692	99.110	153.396	152.595
101.622	101.767	74.706	74.822	72.214	108.920	136.720	147.296
101.767	101.912	74.822	74.938	38.956	175.698	52.833	134.292
101.912	101.942	74.938	74.962	23.263	140.065	48.214	145.848
101.942	101.972	74.962	74.986	18.892	53.764	25.095	55.887
101.972	102.003	74.986	75.01	11.843	30.161	26.153	42.036
102.003	102.033	75.01	75.034	5.530	29.640	30.574	44.044
102.033	102.064	75.034	75.058	6.563	30.310	34.090	44.796
102.064	102.094	75.058	75.082	20.774	26.654	53.536	76.073
102.094	102.219	75.082	75.189	40.230	47.301	84.145	85.995
102.219	102.344	75.189	75.297	131.220	153.255	194.418	202.862
102.344	102.469	75.297	75.404	111.317	148.736	172.583	197.283
102.469	102.594	75.404	75.512	96.675	428.443	145.176	256.376
102.594	102.720	75.512	75.619	81.641	573.220	149.966	369.582
102.720	102.845	75.619	75.727	48.359	189.830	74.407	212.544
102.845	102.857	75.727	75.737	20.714	49.993	74.617	107.974
102.857	102.869	75.737	75.748	20.714	49.993	74.617	107.974
102.869	102.881	75.748	75.759	20.714	49.993	74.617	107.974
102.881	102.893	75.759	75.769	16.959	36.245	68.216	75.702
102.893	102.905	75.769	75.78	16.959	36.245	68.216	75.702
102.905	102.918	75.78	75.791	16.959	36.245	68.216	75.702
102.918	103.074	75.791	75.93	50.960	83.079	104.299	153.056
103.074	103.231	75.93	76.069	164.601	340.381	300.964	275.237
103.231	103.388	76.069	76.208	204.247	267.583	309.325	367.728
103.388	103.544	76.208	76.347	69.957	116.673	114.730	189.323
103.544	103.701	76.347	76.486	61.979	173.782	120.475	177.582
103.701	103.858	76.486	76.625	48.831	128.648	77.215	190.076
103.858	103.889	76.625	76.651	4.731	80.428	21.557	47.455
103.889	103.920	76.651	76.678	14.926	62.405	41.363	91.537
103.920	103.951	76.678	76.704	9.547	34.932	35.020	86.314
103.951	103.982	76.704	76.73	4.786	18.562	27.503	68.783
103.982	104.014	76.73	76.757	7.605	17.644	30.318	64.848
104.014	104.045	76.757	76.783	19.839	30.501	47.329	98.394
104.045	104.136	76.783	76.861	122.615	108.469	206.220	330.704
104.136	104.226	76.861	76.939	116.783	157.236	223.561	231.775
104.226	104.317	76.939	77.016	98.471	162.569	163.244	293.450
104.317	104.408	77.016	77.094	90.521	429.317	213.385	321.368
104.408	104.499	77.094	77.172	71.936	191.383	169.841	222.021
104.499	104.589	77.172	77.25	44.090	397.232	75.404	162.567
104.589	104.620	77.25	77.277	19.538	46.113	41.989	75.475
104.620	104.650	77.277	77.304	31.415	57.519	68.077	92.620
104.650	104.680	77.304	77.331	26.908	48.298	77.016	82.860
104.680	104.710	77.331	77.358	18.653	36.616	68.925	71.868
104.710	104.741	77.358	77.385	13.905	35.709	57.151	75.428
104.741	104.771	77.385	77.412	14.379	49.341	65.488	93.441
104.771	104.855	77.412	77.488	60.044	140.838	142.684	173.436
104.855	104.940	77.488	77.564	99.018	186.732	180.935	219.232
104.940	105.025	77.564	77.64	92.721	202.621	160.981	246.126
105.025	105.109	77.64	77.716	169.216	199.815	295.556	317.397
105.109	105.194	77.716	77.792	121.115	185.750	186.587	267.549
105.194	105.279	77.792	77.868	57.426	137.847	97.348	273.261
105.279	105.285	77.868	77.873	30.777	54.236	59.792	91.809
105.285	105.291	77.873	77.879	30.777	54.236	59.792	91.809
105.291	105.297	77.879	77.884	30.777	54.236	59.792	91.809
105.297	105.303	77.884	77.889	30.777	54.236	59.792	91.809
105.303	105.309	77.889	77.895	30.777	54.236	59.792	91.809
105.309	105.315	77.895	77.9	30.777	54.236	59.792	91.809
105.315	105.394	77.9	77.97	58.090	69.643	88.983	175.158
105.394	105.472	77.97	78.039	50.428	72.185	99.357	116.158
105.472	105.551	78.039	78.109	153.765	227.820	239.489	263.194
105.551	105.629	78.109	78.178	48.042	114.820	78.901	176.146
105.629	105.708	78.178	78.248	51.976	141.430	106.100	241.412
105.708	105.786	78.248	78.317	73.593	222.345	114.059	259.491
105.786	105.860	78.317	78.382	18.492	52.450	60.981	84.711
105.860	105.934	78.382	78.448	1.976	13.882	12.650	18.418
105.934	106.009	78.448	78.513	10.528	10.621	34.270	40.749
106.009	106.083	78.513	78.578	3.894	6.319	33.852	40.987
106.083	106.157	78.578	78.644	2.855	4.485	15.736	49.861
106.157	106.231	78.644	78.709	7.392	20.634	30.391	66.864
106.231	106.295	78.709	78.765	52.818	190.238	66.104	249.762
106.295	106.359	78.765	78.822	166.555	557.328	283.095	506.559
106.359	106.423	78.822	78.878	103.923	124.825	200.082	278.052
106.423	106.488	78.878	78.935	99.854	101.200	159.847	297.602
106.488	106.552	78.935	78.991	62.989	143.525	93.323	154.746
106.552	106.616	78.991	79.048	114.459	178.823	161.368	227.206
106.616	106.676	79.048	79.101	22.662	51.819	37.972	46.360
106.676	106.736	79.101	79.154	15.160	36.694	31.991	34.323
106.736	106.796	79.154	79.207	7.954	12.791	28.663	27.713
106.796	106.856	79.207	79.261	6.599	11.438	58.849	40.781
106.856	106.916	79.261	79.314	8.697	13.014	61.856	44.420
106.916	106.976	79.314	79.367	11.760	12.662	50.494	37.995
106.976	107.012	79.367	79.399	42.163	33.088	88.719	51.270
107.012	107.048	79.399	79.432	98.255	97.183	137.440	89.811
107.048	107.084	79.432	79.464	132.483	77.745	188.520	119.043
107.084	107.120	79.464	79.496	75.502	54.505	147.675	70.362
107.120	107.156	79.496	79.528	98.681	60.303	208.444	101.803
107.156	107.192	79.528	79.56	128.719	73.776	157.821	163.002
107.192	107.216	79.56	79.581	24.739	33.720	36.166	45.247
107.216	107.240	79.581	79.603	16.318	31.850	41.751	59.830
107.240	107.264	79.603	79.624	7.898	29.980	47.336	74.413
107.264	107.287	79.624	79.645	9.035	16.422	19.781	30.340
107.287	107.311	79.645	79.667	10.160	23.863	22.492	45.018
107.311	107.335	79.667	79.688	11.284	31.304	25.202	59.696
107.335	107.480	79.688	79.815	41.300	464.725	59.749	250.320
107.480	107.624	79.815	79.942	63.727	264.889	276.027	247.537
107.624	107.769	79.942	80.069	nan	nan	nan	nan
107.769	107.913	80.069	80.195	nan	nan	nan	nan
107.913	108.058	80.195	80.322	119.972	113.976	253.049	214.626
108.058	108.202	80.322	80.449	61.625	88.014	163.585	217.070
108.202	108.255	80.449	80.496	19.330	75.457	65.285	148.731
108.255	108.308	80.496	80.542	6.853	11.173	46.203	88.574
108.308	108.361	80.542	80.589	2.399	5.051	17.528	23.952
108.361	108.414	80.589	80.636	4.513	5.119	28.589	28.900
108.414	108.467	80.636	80.683	8.297	9.798	36.995	60.588
108.467	108.519	80.683	80.729	8.105	14.741	30.563	135.715
108.519	108.625	80.729	80.82	59.792	65.070	107.079	135.034
108.625	108.730	80.82	80.911	57.838	61.214	108.331	93.350
108.730	108.836	80.911	81.002	55.512	48.746	109.247	79.674
108.836	108.941	81.002	81.094	54.437	40.529	120.952	100.303
108.941	109.046	81.094	81.185	45.204	54.170	52.272	101.408
109.046	109.152	81.185	81.276	42.116	80.609	57.308	87.493
109.152	109.189	81.276	81.307	8.817	20.959	35.010	56.437
109.189	109.227	81.307	81.339	29.194	43.216	45.660	125.796
109.227	109.264	81.339	81.37	8.151	16.165	45.112	49.052
109.264	109.301	81.37	81.402	12.478	12.139	25.956	32.949
109.301	109.339	81.402	81.433	13.395	16.274	17.910	28.609
109.339	109.376	81.433	81.465	10.587	10.783	16.178	21.468
109.376	109.450	81.465	81.526	42.065	47.132	73.456	71.514
109.450	109.524	81.526	81.586	21.989	30.813	72.017	69.251
109.524	109.598	81.586	81.647	66.704	47.155	109.967	97.789
109.598	109.671	81.647	81.708	70.280	43.981	137.288	96.160
109.671	109.745	81.708	81.769	122.858	149.385	199.910	184.886
109.745	109.819	81.769	81.83	51.107	78.092	91.325	89.697
109.819	109.843	81.83	81.85	6.081	30.591	35.413	51.019
109.843	109.867	81.85	81.871	9.465	22.548	38.770	62.821
109.867	109.891	81.871	81.892	12.849	14.505	42.127	74.623
109.891	109.916	81.892	81.912	12.325	8.374	58.108	56.425
109.916	109.940	81.912	81.933	18.387	12.377	62.569	65.556
109.940	109.964	81.933	81.954	24.450	16.381	67.029	74.688
109.964	110.013	81.954	81.996	77.772	84.353	141.871	242.119
110.013	110.063	81.996	82.038	93.076	75.789	168.738	100.014
110.063	110.112	82.038	82.08	64.377	46.277	147.961	114.151
110.112	110.161	82.08	82.123	46.306	40.979	106.223	71.843
110.161	110.210	82.123	82.165	40.733	55.270	139.770	89.183
110.210	110.260	82.165	82.207	69.206	52.610	152.749	97.009
110.260	110.317	82.207	82.255	24.655	40.311	31.161	107.398
110.317	110.375	82.255	82.304	5.506	8.413	18.320	27.759
110.375	110.433	82.304	82.352	7.928	9.520	26.054	34.976
110.433	110.491	82.352	82.4	8.048	4.799	22.690	25.581
110.491	110.549	82.4	82.448	20.806	12.588	50.058	65.389
110.549	110.607	82.448	82.496	15.958	13.581	30.555	55.325
110.607	110.727	82.496	82.598	46.337	58.087	111.053	130.086
110.727	110.848	82.598	82.699	150.414	203.249	232.736	213.300
110.848	110.968	82.699	82.801	68.923	57.025	109.352	118.526
110.968	111.089	82.801	82.902	53.948	117.242	74.127	144.095
111.089	111.209	82.902	83.004	54.316	119.727	75.422	133.772
111.209	111.330	83.004	83.105	64.951	176.875	87.196	150.224
111.330	111.361	83.105	83.132	14.983	49.021	28.037	76.327
111.361	111.393	83.132	83.158	7.613	25.162	40.267	76.994
111.393	111.424	83.158	83.185	3.492	14.028	22.615	42.078
111.424	111.456	83.185	83.211	3.297	10.715	23.128	34.201
111.456	111.487	83.211	83.237	8.039	13.204	49.320	78.708
111.487	111.519	83.237	83.264	18.341	20.816	60.535	159.601
111.519	111.591	83.264	83.325	102.392	83.212	192.444	234.401
111.591	111.664	83.325	83.386	137.927	140.913	216.501	263.820
111.664	111.737	83.386	83.447	101.026	67.211	138.138	164.868
111.737	111.810	83.447	83.508	69.279	180.854	111.734	224.194
111.810	111.883	83.508	83.569	44.428	67.843	68.694	115.183
111.883	111.955	83.569	83.63	60.807	47.916	84.179	112.330
111.955	111.968	83.63	83.641	16.425	7.975	39.671	35.687
111.968	111.980	83.641	83.651	16.425	7.975	39.671	35.687
111.980	111.992	83.651	83.662	16.425	7.975	39.671	35.687
111.992	112.005	83.662	83.672	26.844	27.111	97.117	108.894
112.005	112.017	83.672	83.683	26.844	27.111	97.117	108.894
112.017	112.030	83.683	83.693	26.844	27.111	97.117	108.894
112.030	112.098	83.693	83.751	69.975	97.503	128.539	199.118
112.098	112.166	83.751	83.809	154.116	148.971	158.890	207.696
112.166	112.234	83.809	83.866	179.762	218.601	184.112	232.001
112.234	112.302	83.866	83.924	90.128	109.551	130.748	180.419
112.302	112.370	83.924	83.982	198.652	286.517	235.343	288.400
112.370	112.438	83.982	84.04	61.056	56.243	100.122	103.368
112.438	112.444	84.04	84.045	19.551	51.893	40.556	68.767
112.444	112.451	84.045	84.05	19.551	51.893	40.556	68.767
112.451	112.457	84.05	84.056	19.551	51.893	40.556	68.767
112.457	112.463	84.056	84.061	19.551	51.893	40.556	68.767
112.463	112.469	84.061	84.066	19.551	51.893	40.556	68.767
112.469	112.475	84.066	84.071	19.551	51.893	40.556	68.767
112.475	112.557	84.071	84.14	63.808	296.564	80.716	153.127
112.557	112.640	84.14	84.209	44.849	67.466	80.411	99.212
112.640	112.722	84.209	84.278	86.784	309.899	120.140	203.509
112.722	112.804	84.278	84.347	87.752	408.591	105.087	233.095
112.804	112.886	84.347	84.416	83.711	414.433	106.312	218.175
112.886	112.968	84.416	84.485	102.623	248.922	157.977	216.487
112.968	112.994	84.485	84.508	22.152	57.489	19.887	54.880
112.994	113.021	84.508	84.53	18.947	49.542	26.359	68.374
113.021	113.047	84.53	84.552	16.692	40.548	30.927	76.419
113.047	113.073	84.552	84.575	17.507	23.860	29.357	64.999
113.073	113.100	84.575	84.597	18.575	20.861	32.779	62.338
113.100	113.126	84.597	84.619	19.822	17.362	36.771	59.235
113.126	113.213	84.619	84.692	117.341	75.435	159.173	185.738
113.213	113.301	84.692	84.765	162.058	168.984	273.952	317.123
113.301	113.388	84.765	84.838	87.976	120.240	185.791	206.422
113.388	113.475	84.838	84.91	90.192	130.976	161.631	189.898
113.475	113.563	84.91	84.983	49.325	85.300	94.020	126.560
113.563	113.650	84.983	85.056	34.511	57.840	49.772	106.970
113.650	113.686	85.056	85.086	9.534	7.369	38.556	37.502
113.686	113.722	85.086	85.117	3.661	6.592	19.434	53.300
113.722	113.759	85.117	85.148	30.782	11.065	73.256	60.445
113.759	113.795	85.148	85.178	11.035	7.097	15.798	38.993
113.795	113.831	85.178	85.209	11.011	8.767	27.842	89.573
113.831	113.867	85.209	85.24	7.944	55.491	19.215	41.526
113.867	113.995	85.24	85.349	50.575	92.517	85.499	109.595
113.995	114.123	85.349	85.457	97.262	132.215	133.351	174.055
114.123	114.250	85.457	85.566	31.710	31.389	66.911	84.440
114.250	114.378	85.566	85.675	65.171	87.813	95.884	104.707
114.378	114.505	85.675	85.784	25.123	58.243	35.633	89.716
114.505	114.633	85.784	85.893	42.798	282.857	104.198	276.076
114.633	114.660	85.893	85.916	12.082	42.256	22.133	68.536
114.660	114.687	85.916	85.939	25.981	28.385	53.758	84.192
114.687	114.714	85.939	85.962	19.433	29.148	40.561	67.891
114.714	114.741	85.962	85.985	13.986	21.112	33.560	44.027
114.741	114.768	85.985	86.008	13.810	15.418	41.616	35.028
114.768	114.795	86.008	86.031	18.120	17.721	62.205	45.479
114.795	114.948	86.031	86.163	36.642	38.132	48.758	50.747
114.948	115.101	86.163	86.295	96.433	389.788	117.584	165.491
115.101	115.253	86.295	86.427	127.638	581.849	164.314	225.032
115.253	115.406	86.427	86.559	72.190	61.709	122.765	92.215
115.406	115.559	86.559	86.691	42.606	27.393	86.258	93.086
115.559	115.711	86.691	86.823	36.163	25.615	53.275	129.875
115.711	115.748	86.823	86.856	17.487	30.599	35.154	78.801
115.748	115.785	86.856	86.888	28.834	62.556	39.313	112.110
115.785	115.823	86.888	86.921	40.094	49.995	49.999	150.619
115.823	115.860	86.921	86.954	43.557	42.525	62.552	152.721
115.860	115.897	86.954	86.986	9.505	16.549	44.707	73.691
115.897	115.934	86.986	87.019	18.980	42.674	85.870	123.186
115.934	115.990	87.019	87.067	91.564	129.374	152.189	319.191
115.990	116.045	87.067	87.116	89.725	136.907	148.694	381.498
116.045	116.101	87.116	87.164	118.465	231.313	161.583	249.513
116.101	116.157	87.164	87.213	124.145	243.064	170.940	299.939
116.157	116.213	87.213	87.262	176.005	215.502	185.960	454.826
116.213	116.268	87.262	87.31	104.217	56.804	138.368	284.405
116.268	116.342	87.31	87.373	13.099	20.698	48.604	78.035
116.342	116.416	87.373	87.435	63.836	218.877	89.091	252.532
116.416	116.491	87.435	87.498	11.660	22.925	46.354	160.681
116.491	116.565	87.498	87.56	12.936	10.928	38.382	90.165
116.565	116.639	87.56	87.623	28.271	52.705	82.352	194.532
116.639	116.713	87.623	87.686	17.887	24.216	43.635	96.237
116.713	116.785	87.686	87.744	214.181	398.505	344.348	1002.675
116.785	116.858	87.744	87.803	111.800	98.876	190.499	607.006
116.858	116.930	87.803	87.861	51.392	13.783	76.991	180.252
116.930	117.003	87.861	87.92	75.768	50.519	166.604	149.160
117.003	117.075	87.92	87.979	81.994	147.471	183.610	228.529
117.075	117.148	87.979	88.037	153.079	208.726	230.749	363.102
117.148	117.172	88.037	88.058	30.722	265.839	97.914	164.538
117.172	117.196	88.058	88.079	28.725	200.771	93.115	170.547
117.196	117.220	88.079	88.099	26.728	135.702	88.316	176.555
117.220	117.244	88.099	88.12	57.706	237.849	135.864	364.420
117.244	117.268	88.12	88.14	39.007	139.901	115.007	224.363
117.268	117.292	88.14	88.161	20.309	41.952	94.150	84.307
117.292	117.395	88.161	88.249	106.181	87.316	189.896	196.019
117.395	117.498	88.249	88.338	78.694	82.052	133.764	154.548
117.498	117.601	88.338	88.426	82.348	67.209	113.292	136.092
117.601	117.704	88.426	88.514	73.388	47.464	100.960	108.129
117.704	117.807	88.514	88.603	27.654	25.520	76.269	98.969
117.807	117.909	88.603	88.691	39.765	43.336	93.818	124.119
117.909	117.978	88.691	88.751	11.451	24.183	33.141	79.034
117.978	118.048	88.751	88.811	22.260	44.905	45.598	109.040
118.048	118.117	88.811	88.87	14.548	26.929	65.608	82.449
118.117	118.186	88.87	88.93	14.613	19.831	74.288	86.276
118.186	118.255	88.93	88.99	14.007	17.788	59.702	74.438
118.255	118.324	88.99	89.049	15.141	20.273	53.026	68.493
118.324	118.437	89.049	89.146	61.033	66.493	123.800	143.653
118.437	118.551	89.146	89.242	96.246	76.946	195.347	178.797
118.551	118.664	89.242	89.339	180.317	248.375	277.650	300.148
118.664	118.777	89.339	89.436	55.787	28.490	129.902	82.890
118.777	118.891	89.436	89.532	35.551	26.012	79.296	67.804
118.891	119.004	89.532	89.629	54.076	38.666	65.336	92.810
119.004	119.091	89.629	89.702	20.307	66.501	56.017	81.300
119.091	119.178	89.702	89.776	7.539	14.443	31.260	50.689
119.178	119.264	89.776	89.85	5.990	5.824	30.412	69.670
119.264	119.351	89.85	89.924	4.306	4.405	25.143	131.562
119.351	119.438	89.924	89.997	14.947	6.574	77.659	33.038
119.438	119.524	89.997	90.071	18.771	8.705	109.251	31.158
119.524	119.637	90.071	90.164	36.541	17.939	137.073	92.659
119.637	119.750	90.164	90.258	93.580	60.695	151.868	99.872
119.750	119.862	90.258	90.351	217.478	280.292	246.276	342.941
119.862	119.975	90.351	90.444	95.134	78.144	121.117	164.632
119.975	120.088	90.444	90.537	101.383	93.249	128.877	143.106
120.088	120.200	90.537	90.63	54.499	112.765	55.004	106.601
120.200	120.219	90.63	90.646	16.621	56.792	45.413	58.327
120.219	120.238	90.646	90.662	16.621	56.792	45.413	58.327
120.238	120.257	90.662	90.678	11.432	51.635	25.861	66.340
120.257	120.276	90.678	90.693	11.432	51.635	25.861	66.340
120.276	120.295	90.693	90.709	29.794	36.897	87.202	74.339
120.295	120.313	90.709	90.725	29.794	36.897	87.202	74.339
120.313	120.429	90.725	90.822	137.924	160.141	158.457	181.062
120.429	120.544	90.822	90.919	153.079	121.329	182.637	148.637
120.544	120.659	90.919	91.016	170.011	93.524	234.565	187.930
120.659	120.774	91.016	91.113	99.927	54.878	150.032	133.266
120.774	120.889	91.113	91.21	56.316	41.510	80.054	138.694
120.889	121.004	91.21	91.307	66.941	103.805	71.843	170.612
121.004	121.022	91.307	91.322	11.792	65.222	30.493	54.529
121.022	121.041	91.322	91.338	11.792	65.222	30.493	54.529
