#Depth. m	Depth Bottom. m	Depth top. mwe	Depth bot. mwe	Nh4[ppb]	Ca[ppb]	No3[ppb]	So4[ppb]
85.262	85.319	60.582	60.634	15.471	37.111	62.932	142.101
85.319	85.376	60.634	60.685	7.738	17.032	47.441	106.138
85.376	85.434	60.685	60.736	9.232	11.268	28.273	68.037
85.434	85.491	60.736	60.788	11.088	71.144	35.710	126.802
85.491	85.548	60.788	60.839	9.088	83.811	45.828	98.492
85.548	85.619	60.839	60.902	31.075	80.485	106.575	167.951
85.619	85.689	60.902	60.965	92.396	129.096	193.066	313.172
85.689	85.759	60.965	61.027	71.371	87.877	150.814	206.877
85.759	85.829	61.027	61.09	78.423	530.000	163.362	382.783
85.829	85.900	61.09	61.153	79.922	157.718	143.653	224.440
85.900	85.970	61.153	61.216	87.326	101.800	110.768	265.676
85.970	86.009	61.216	61.251	19.885	47.678	52.797	170.382
86.009	86.048	61.251	61.286	4.133	17.789	31.968	73.374
86.048	86.088	61.286	61.321	29.321	50.975	65.147	219.421
86.088	86.127	61.321	61.356	40.775	124.892	81.614	231.292
86.127	86.166	61.356	61.391	37.544	115.560	75.866	218.214
86.166	86.205	61.391	61.426	10.082	36.237	27.013	107.051
86.205	86.287	61.426	61.499	70.705	132.883	95.194	254.912
86.287	86.368	61.499	61.573	59.667	40.822	86.092	228.746
86.368	86.450	61.573	61.646	38.687	21.208	64.316	135.004
86.450	86.531	61.646	61.72	125.696	141.514	159.033	387.304
86.531	86.613	61.72	61.793	174.314	403.909	264.913	500.035
86.613	86.694	61.793	61.867	114.370	129.054	175.986	411.658
86.694	86.725	61.867	61.895	44.080	72.625	74.219	106.677
86.725	86.757	61.895	61.923	31.272	88.341	47.116	112.348
86.757	86.788	61.923	61.95	12.509	49.817	29.484	76.926
86.788	86.819	61.95	61.978	2.285	21.101	26.955	81.706
86.819	86.850	61.978	62.006	7.760	27.276	47.747	130.918
86.850	86.882	62.006	62.034	27.566	56.089	97.209	132.656
86.882	86.956	62.034	62.1	35.157	110.470	96.548	170.333
86.956	87.030	62.1	62.165	63.902	144.632	147.671	187.373
